iter	RMSE
0	1.128478167
1	1.101615465
2	1.076102237
3	1.052478044
4	1.02984271
5	1.008104691
6	0.9883319421
7	0.9690525076
8	0.9512398054
9	0.935713523
10	0.9190761084
11	0.9040461413
12	0.8900334458
13	0.8756537318
14	0.8628732594
15	0.8495790286
16	0.8384349094
17	0.8272904077
18	0.8165592074
19	0.806709661
20	0.798469238
21	0.7898217972
22	0.7807873788
23	0.7722815227
24	0.7657561395
25	0.756133879
26	0.7489025851
27	0.7402737111
28	0.73318044
29	0.7279675958
30	0.7223535502
31	0.7160922263
32	0.7113526992
33	0.7059570987
34	0.7012832213
35	0.69669395
36	0.6909849864
37	0.6863259951
38	0.6805410547
39	0.6752825284
40	0.6709234571
41	0.6665637651
42	0.6631167364
43	0.6599725009
44	0.6563415332
45	0.6533967572
46	0.6504254664
47	0.6474105154
48	0.6448549507
49	0.6423195807
50	0.6398585248
51	0.6361189264
52	0.6341663475
53	0.6321272749
54	0.6288622876
55	0.6260641595
56	0.623915918
57	0.622156351
58	0.6188794857
59	0.6172749562
60	0.6156761166
61	0.6143963522
62	0.6128561939
63	0.6107675136
64	0.6096839617
65	0.6080442152
66	0.6050262988
67	0.6027734213
68	0.6014103819
69	0.6001451233
70	0.5987350237
71	0.5972683238
72	0.5959890538
73	0.5935337748
74	0.5919318289
75	0.5909144004
76	0.5892717484
77	0.5883671119
78	0.5873580658
79	0.5864431084
80	0.5845357632
81	0.5834637746
82	0.5821386056
83	0.5807701325
84	0.5790809805
85	0.5782531313
86	0.5771982442
87	0.5761304229
88	0.5754840807
89	0.5742392991
90	0.5736106165
91	0.5729344844
92	0.572412868
93	0.5718351999
94	0.5711832461
95	0.5697535161
96	0.5692847822
97	0.5684252212
98	0.5672165966
99	0.5665097245
100	0.5658897428
101	0.5651989742
102	0.5639490306
103	0.5621291104
104	0.561392182
105	0.5608079578
106	0.5601633402
107	0.5594030516
108	0.5582070421
109	0.5574815589
110	0.5566660294
111	0.5557668234
112	0.5553169801
113	0.5546968511
114	0.5543692212
115	0.5536844812
116	0.5526694352
117	0.5520733066
118	0.5510086802
119	0.5502273222
120	0.5499147283
121	0.5489942309
122	0.5483983088
123	0.5479375033
124	0.5475520178
125	0.5472488142
126	0.5469007324
127	0.5466377255
128	0.5461848202
129	0.5459437665
130	0.5453713698
131	0.5447470296
132	0.5440986143
133	0.543721971
134	0.542652685
135	0.5418578478
136	0.5408797517
137	0.5406824053
138	0.5401668028
139	0.5392660195
140	0.5389021273
141	0.5383984743
142	0.5371806208
143	0.5365676564
144	0.5361404723
145	0.5358494586
146	0.535519096
147	0.5351182363
148	0.5348054488
149	0.5338794158
150	0.5335608431
151	0.5332277924
152	0.5329924138
153	0.5327913179
154	0.5323059062
155	0.5318338326
156	0.5314322913
157	0.5310899262
158	0.5305258325
159	0.5296802128
160	0.5291354971
161	0.5287886738
162	0.5284598929
163	0.527993828
164	0.5275396694
165	0.5270470948
166	0.5268717237
167	0.5261714695
168	0.5257070848
169	0.5254065218
170	0.52504644
171	0.5244618317
172	0.5239876314
173	0.523720124
174	0.5230070076
175	0.5226289701
176	0.5220075086
177	0.5216484965
178	0.5212508841
179	0.5211038114
180	0.5207606263
181	0.5202006334
182	0.5198796797
183	0.5194772945
184	0.5190826671
185	0.5186895714
186	0.5182076009
187	0.5179487401
188	0.517502777
189	0.5171319978
190	0.5161107146
191	0.5157437956
192	0.5153694849
193	0.5151486432
194	0.5148142544
195	0.5145383918
196	0.5141371888
197	0.5138494952
198	0.5134594846
199	0.5130821581
200	0.512675656
201	0.5123221356
202	0.5120248498
203	0.5113535615
204	0.5107769442
205	0.5104455075
206	0.5096913036
207	0.5094482203
208	0.5091377944
209	0.5088179739
210	0.5083836779
211	0.5077981634
212	0.5075277346
213	0.5072225841
214	0.5066608107
215	0.506364273
216	0.5060278541
217	0.5057356905
218	0.5053342554
219	0.5051051128
220	0.5048468738
221	0.5045446773
222	0.5042359855
223	0.5039063075
224	0.5035833888
225	0.5032573284
226	0.502995819
227	0.5025429251
228	0.5020412537
229	0.5016852361
230	0.5013202144
231	0.5009738229
232	0.5006285845
233	0.4999805579
234	0.4995961724
235	0.4992580664
236	0.4989046733
237	0.4986261138
238	0.4983396381
239	0.4978612147
240	0.4973979451
241	0.4971544248
242	0.4968805578
243	0.4965830889
244	0.4964164224
245	0.496003997
246	0.495685994
247	0.4953976931
248	0.4952432236
249	0.4950043324
250	0.4946734969
251	0.4942305933
252	0.4940324981
253	0.4936834975
254	0.4934290263
255	0.4932491342
256	0.4929446646
257	0.4926831948
258	0.4923221375
259	0.4921141414
260	0.4918944326
261	0.4916273979
262	0.4911424089
263	0.4907351191
264	0.490561703
265	0.4903484842
266	0.4901307306
267	0.4898446153
268	0.4896291028
269	0.4893711825
270	0.4891059352
271	0.4887091746
272	0.4885093362
273	0.4883341316
274	0.4880632353
275	0.4878342949
276	0.4875330078
277	0.4872961358
278	0.4870679438
279	0.4867934457
280	0.4865665652
281	0.4863439328
282	0.4860374646
283	0.4858270436
284	0.4855953966
285	0.4851486561
286	0.4849499459
287	0.4846554958
288	0.4843652508
289	0.4842155181
290	0.4840363741
291	0.4836035616
292	0.4830950751
293	0.482912409
294	0.4827328737
295	0.4825304096
296	0.4822958948
297	0.4819110835
298	0.4816974181
299	0.4815645639
300	0.4812983051
301	0.4807726428
302	0.4805736876
303	0.4804499466
304	0.4801904908
305	0.479816004
306	0.4795769446
307	0.479395837
308	0.4791550476
309	0.4788226248
310	0.4786620485
311	0.478477599
312	0.4783340074
313	0.4781183415
314	0.4779683489
315	0.4776647894
316	0.4775301187
317	0.4773258622
318	0.4771287979
319	0.4768782075
320	0.4766216347
321	0.4764202802
322	0.4763000442
323	0.4761239502
324	0.4758695639
325	0.4756933677
326	0.4754554095
327	0.4752805669
328	0.4750981396
329	0.4749126604
330	0.4747529561
331	0.4745689439
332	0.4741897357
333	0.4739115368
334	0.4737503229
335	0.4735013433
336	0.4733007476
337	0.473081251
338	0.4727586458
339	0.4725560535
340	0.4723470873
341	0.4720760794
342	0.4718939305
343	0.471743876
344	0.4715974302
345	0.4715002645
346	0.4713426936
347	0.471176874
348	0.4708794146
349	0.4706081017
350	0.4703641672
351	0.4702178666
352	0.4699641281
353	0.4697325354
354	0.4695093456
355	0.4692839044
356	0.4691105262
357	0.4687718378
358	0.4685456137
359	0.4683125864
360	0.4681339861
361	0.4679226836
362	0.4678076891
363	0.467649894
364	0.4673153951
365	0.4671652882
